20250301  1  1 35   8    .   .
20250301  1  2  6   6    .   .
20250301  1  3  4   1    .   .
20250301  1  4 35   4    .   .
20250301  1  5  5  10    .   .
20250301  1  6 43   2    .   .
20250301  1  7  0   5    .   .
20250301  1  8 72   3    .   .
20250301  1  9  0   7    .   .
20250301  1 10 25   9    .   .
20250301  1 11  .   .    .   .
20250301  1 12  .   .    .   .
20250301  2  1  0   2    .   .
20250301  2  2 61  11    .   .
20250301  2  3 22   4    .   .
20250301  2  4 52   3    .   .
20250301  2  5  0   8    .   .
20250301  2  6  0   9    .   .
20250301  2  7  0  10    .   .
20250301  2  8 21   1    .   .
20250301  2  9 13   5    .   .
20250301  2 10  1   6    .   .
20250301  2 11 55   7    .   .
20250301  2 12  .   .    .   .
20250301  3  1  6   3    .   .
20250301  3  2 39   7    .   .
20250301  3  3 63   2    .   .
20250301  3  4  2  10    .   .
20250301  3  5  1   6    .   .
20250301  3  6 22   1    .   .
20250301  3  7 60   9    .   .
20250301  3  8  0   4    .   .
20250301  3  9  3   5    .   .
20250301  3 10 29   8    .   .
20250301  3 11  .   .    .   .
20250301  3 12  .   .    .   .
20250301  4  1 17   4    .   .
20250301  4  2 19   9    .   .
20250301  4  3  0   5    .   .
20250301  4  4 67   7    .   .
20250301  4  5 41   2    .   .
20250301  4  6  5   1    .   .
20250301  4  7 20   6    .   .
20250301  4  8  2   8    .   .
20250301  4  9 53  10    .   .
20250301  4 10  1   3    .   .
20250301  4 11  0  11    .   .
20250301  4 12  .   .    .   .
20250301  5  1  7   5    .   .
20250301  5  2 16   6    .   .
20250301  5  3 20   9    .   .
20250301  5  4 10   3    .   .
20250301  5  5 68   2    .   .
20250301  5  6 58   4    .   .
20250301  5  7  3   1    .   .
20250301  5  8  2   7    .   .
20250301  5  9 41   8    .   .
20250301  5 10  0  10    .   .
20250301  5 11  0  11    .   .
20250301  5 12  .   .    .   .
20250301  6  1 40   8    .   .
20250301  6  2  3  10    .   .
20250301  6  3  0   1    .   .
20250301  6  4 27   4    .   .
20250301  6  5 11   6    .   .
20250301  6  6 18   5    .   .
20250301  6  7  1   2    .   .
20250301  6  8 71   9    .   .
20250301  6  9  3  11    .   .
20250301  6 10 47   7    .   .
20250301  6 11  4   3    .   .
20250301  6 12  .   .    .   .
20250301  7  1 32  10    .   .
20250301  7  2  0  11    .   .
20250301  7  3  7   1    .   .
20250301  7  4 12   5    .   .
20250301  7  5 25   6    .   .
20250301  7  6 18   4    .   .
20250301  7  7  1   3    .   .
20250301  7  8  3   8    .   .
20250301  7  9  0   7    .   .
20250301  7 10 69   2    .   .
20250301  7 11 58   9    .   .
20250301  7 12  .   .    .   .
20250301  8  1 13   2    .   .
20250301  8  2 71   4    .   .
20250301  8  3 27   5    .   .
20250301  8  4 46   3    .   .
20250301  8  5 35   1    .   .
20250301  8  6  4   9    .   .
20250301  8  7  1  10    .   .
20250301  8  8  2  11    .   .
20250301  8  9 12   6    .   .
20250301  8 10  7   8    .   .
20250301  8 11  7   7    .   .
20250301  8 12  .   .    .   .
20250301  9  1 24   4    .   .
20250301  9  2  2  10    .   .
20250301  9  3 41   3    .   .
20250301  9  4 71   1    .   .
20250301  9  5  0   8    .   .
20250301  9  6  0  11    .   .
20250301  9  7  3   7    .   .
20250301  9  8 24   2    .   .
20250301  9  9  0   5    .   .
20250301  9 10 51   6    .   .
20250301  9 11  9   9    .   .
20250301  9 12  .   .    .   .
20250301 10  1 73   1    .   .
20250301 10  2  2   4    .   .
20250301 10  3 32   6    .   .
20250301 10  4 38   3    .   .
20250301 10  5  2   7    .   .
20250301 10  6 36  10    .   .
20250301 10  7 31   2    .   .
20250301 10  8  0   5    .   .
20250301 10  9  0   8    .   .
20250301 10 10 11   9    .   .
20250301 10 11  .   .    .   .
20250301 10 12  .   .    .   .
