20250518  1  1 22  5  1  0  0  4  5  1  5  2
20250518  1  2 83  1  2  0  1  1  2  3 10  7
20250518  1  3 17  7 -2  0 -3  6  7  0  0  6
20250518  1  4 35  4  0  0 -2  5  4 -1 -1  4
20250518  1  5  9  8 -2  1 -2  7  8 -1 -3  1
20250518  1  6 43  3  2  0  2  3  3  1  4  8
20250518  1  7 72  2  1  0  1  2  1  1  6  3
20250518  1  8 19  6 -1  1  0  8  6 -1 -1  5
20250518  1  9  .  .  .  .  .  .  .  .  .  .
20250518  1 10  .  .  .  .  .  .  .  .  .  .
20250518  1 11  .  .  .  .  .  .  .  .  .  .
20250518  1 12  .  .  .  .  .  .  .  .  .  .
20250518  2  1 15  6 -2  0  0  8  9 -1 -2  7
20250518  2  2 28  3  0  0  0  3  3  0  0  9
20250518  2  3 14  7  0  0 -1  5  5 -1 -1  2
20250518  2  4 23  4  0  0  0  9  6  1  2  4
20250518  2  5 10  8 -4  1 -4  4  8 -1 -3  6
20250518  2  6 23  5 -2  0 -1  1  4  1  2  1
20250518  2  7 91  1  3  0  1  2  2  2  9  3
20250518  2  8  6  9 -1  1 -2  7  7 -1 -3  5
20250518  2  9 91  2  4  0  3  6  1  2 18  8
20250518  2 10  .  .  .  .  .  .  .  .  .  .
20250518  2 11  .  .  .  .  .  .  .  .  .  .
20250518  2 12  .  .  .  .  .  .  .  .  .  .
20250518  3  1 19  6  0  0  0  4  8  0  0 11
20250518  3  2 19  7  0  0 -1 11  3  1  2 10
20250518  3  3 28  5  1  0 -2  5  9  0  0  8
20250518  3  4 30  4  0  0  0  6  4  0  0  4
20250518  3  5  4 11 -4  1 -4  9 10 -1 -5  3
20250518  3  6  7 10 -3  1 -3  3  6 -1 -3  1
20250518  3  7 13  9 -2  0 -2  8  7 -1 -1  2
20250518  3  8 34  3  0  0  0 10  5 -1 -1  9
20250518  3  9 19  8  1  0 -1  1 11  1  2  7
20250518  3 10 50  2  0  0  0  7  1  1  2  6
20250518  3 11 78  1  1  0  1  2  2  1  4  5
20250518  3 12  .  .  .  .  .  .  .  .  .  .
20250518  4  1 46  2  1  0  1  1  9  1  5  8
20250518  4  2 13 10 -4  1 -4  4 11 -1 -2  1
20250518  4  3 25  4  0  0  0  5  6 -1 -1  6
20250518  4  4 25  6  1  0  0  3  7  0  0  3
20250518  4  5  6 11  0  0 -2 10 10 -1 -1  7
20250518  4  6 36  3  0  0  0  7  4  0  1  4
20250518  4  7 25  5  0  0  0  9  5 -1 -1  9
20250518  4  8 69  1  4  0  2 11  3  3 12 10
20250518  4  9 22  7  0  0  0  8  8  0  0 11
20250518  4 10 21  8  0  0  0  2  2  1  3  2
20250518  4 11 14  9  2  0 -2  6  1  1  0  5
20250518  4 12  .  .  .  .  .  .  .  .  .  .
20250518  5  1  6 10  0  0 -1  6  6  1  0  3
20250518  5  2 11  7 -2  0 -1  7  9  0  0  6
20250518  5  3 70  1  3  0  3  9  3  2 14 10
20250518  5  4  9  8 -3  1 -2 10  8 -1 -1  8
20250518  5  5 20  5 -1  0 -2  2  4  1  2  5
20250518  5  6 65  2  3  0  2  4  2  2 14  7
20250518  5  7 16  6  1  0  1  5  5  1  0  2
20250518  5  8 29  4  0  0  0  8  7  1  1  4
